URL	Характеристики	Детали квартиры
https://realty.ya.ru/offer/3062891878865540353/;	общая (м²): 49,2; жилая (м²): 16; кухня (м²): 18; этаж: 9/25; потолки (м): 2,7; год постройки (год): 2017; Станция метро: Купчино; Расстояние до метро (мин): 5; Стоимость (рубли): 53000; Тип квартиры:  1-комнатная квартира; отделка: Отделка — дизайнерский ремонт; Санузел: раздельный; Лоджия: 1; Вид из окон во двор: 1; Интернет: 1; Мебель: 1; Мебель на кухне: 1; Стиральная машина: 1; Холодильник: 1; Посудомойка: 1; Можно с детьми: 1; застройщик: Застройщик ЛСР. Недвижимость – Северо-Запад; Индивидуальный проект: 1; тип здания: Монолитное здание; число подъездов: 2; Лифт: 1; Мусоропровод: 1; Открытая парковка: 1	
https://realty.ya.ru/offer/4394281686310516224/;	общая (м²): 8; жилая (м²): 6; этаж: 1/5; потолки (м): 2,5; год постройки (год): 1962; Станция метро: Ленинский проспект; Расстояние до метро (мин): 9; Стоимость (рубли): 14500; Тип квартиры:  квартира-студия; отделка: Отделка — евроремонт; Санузел: совмещённый; Вид из окон во двор: 1; Интернет: 1; Мебель: 1; Мебель на кухне: 1; Стиральная машина: 1; Холодильник: 1; тип здания: Панельное здание; число квартир: 70; число подъездов: 7; Центральное отопление: 1; Открытая парковка: 1	
https://realty.ya.ru/offer/4628782999801138809/;	общая (м²): 30; этаж: 5/10; потолки (м): 2,7; год постройки (год): 2022; Станция метро: Купчино; Расстояние до метро (мин): 5; Стоимость (рубли): 35000; Тип квартиры:  апартаменты-студия; отделка: Отделка — дизайнерский ремонт; Санузел: совмещённый; Без животных: 1; Без детей: 1; застройщик: Застройщик PLG; Индивидуальный проект: 1; тип здания: Кирпично-монолитное здание; Лифт: 1; Мусоропровод: 1; Охрана/консьерж: 1; Открытая парковка: 1	
https://realty.ya.ru/offer/2043904757586326017/;	общая (м²): 33; жилая (м²): 18; кухня (м²): 7; этаж: 4/9; потолки (м): 2,55; год постройки (год): 1978; Станция метро: Озерки; Расстояние до метро (мин): 6; Стоимость (рубли): 25000; Тип квартиры:  1-комнатная квартира; отделка: Отделка — косметический ремонт; Санузел: совмещённый; Вид из окон во двор: 1; Интернет: 1; Мебель: 1; Мебель на кухне: 1; Стиральная машина: 1; Холодильник: 1; Можно с детьми: 1; тип здания: Панельное здание; число подъездов: 15; Лифт: 1; Мусоропровод: 1; Центральное отопление: 1; Открытая парковка: 1	
https://realty.ya.ru/offer/1804760332132685883/;	общая (м²): 26,3; жилая (м²): 18; этаж: 7/10; Станция метро: Лиговский Проспект; Расстояние до метро (мин): 8; Стоимость (рубли): 50000; Тип квартиры:  апартаменты-студия; отделка: Отделка — евроремонт; Санузел: совмещённый; Вид из окон на улицу: 1; Интернет: 1; Мебель: 1; Телевизор: 1; Стиральная машина: 1; Холодильник: 1; Без животных: 1; Можно с детьми: 1; застройщик: Застройщик ГК «Пионер»; Индивидуальный проект: 1; тип здания: Монолитное здание; Лифт: 1; Мусоропровод: 1; Охрана/консьерж: 1; Закрытая территория: 1; Открытая парковка: 1	
https://realty.ya.ru/offer/4219056635137427457/;	общая (м²): 42; жилая (м²): 18; кухня (м²): 12,5; этаж: 5/22; потолки (м): 2,7; год постройки (год): 2006; Станция метро: Комендантский проспект; Расстояние до метро (мин): 6; Стоимость (рубли): 36000; Тип квартиры:  1-комнатная квартира; отделка: Отделка — евроремонт; Санузел: раздельный; Балкон: 1; Интернет: 1; Мебель: 1; Мебель на кухне: 1; Телевизор: 1; Стиральная машина: 1; Холодильник: 1; Посудомойка: 1; Индивидуальный проект: 1; тип здания: Кирпично-монолитное здание; число квартир: 1174; число подъездов: 9; Лифт: 1; Мусоропровод: 1; Центральное отопление: 1; Открытая парковка: 1	
https://realty.ya.ru/offer/6330279923616047180/;	общая (м²): 57; кухня (м²): 8; этаж: 16/20; потолки (м): 2,7; год постройки (год): 2018; Станция метро: Пролетарская; Расстояние до метро (мин): 7; Стоимость (рубли): 45000; Тип квартиры:  2-комнатная квартира; застройщик: Застройщик ИПС; Индивидуальный проект: 1; тип здания: Монолитное здание; число квартир: 342; число подъездов: 3; Лифт: 1; Открытая парковка: 1	
https://realty.ya.ru/offer/7567120673465029462/;	общая (м²): 77; жилая (м²): 48; кухня (м²): 15; этаж: 2/5; год постройки (год): 1939; Станция метро: Новочеркасская; Расстояние до метро (мин): 9; Стоимость (рубли): 58000; Тип квартиры:  3-комнатная квартира; отделка: Отделка — евроремонт; Санузел: совмещённый; Мебель: 1; Мебель на кухне: 1; Телевизор: 1; Стиральная машина: 1; Холодильник: 1; Посудомойка: 1; Индивидуальный проект: 1; тип здания: Кирпичное здание; число квартир: 54; число подъездов: 5; Лифт: 1; Центральное отопление: 1; Открытая парковка: 1	
https://realty.ya.ru/offer/5997181456756065506/;	общая (м²): 90; этаж: 2/25; потолки (м): 2,75; год постройки (год): 2007; Станция метро: Академическая; Расстояние до метро (мин): 4; Стоимость (рубли): 75500; Тип квартиры:  3-комнатная квартира; отделка: Отделка — косметический ремонт; Санузел: раздельный; Балкон: 1; Вид из окон во двор: 1; Интернет: 1; Мебель: 1; Телевизор: 1; Стиральная машина: 1; Холодильник: 1; Можно с животными: 1; Можно с детьми: 1; Индивидуальный проект: 1; тип здания: Монолитное здание; число подъездов: 7; Лифт: 1; Мусоропровод: 1; Охрана/консьерж: 1; Центральное отопление: 1; Открытая парковка: 1	
https://realty.ya.ru/offer/4057006479318481921/;	общая (м²): 42; жилая (м²): 26; кухня (м²): 8; этаж: 2/3; потолки (м): 3,2; год постройки (год): 1897; Станция метро: Петроградская; Расстояние до метро (мин): 5; Стоимость (рубли): 50000; Тип квартиры:  1-комнатная квартира; отделка: Отделка — косметический ремонт; Санузел: совмещённый; Вид из окон на улицу: 1; Интернет: 1; Мебель: 1; Мебель на кухне: 1; Телевизор: 1; Стиральная машина: 1; Холодильник: 1; Посудомойка: 1; Индивидуальный проект: 1; тип здания: Кирпичное здание; число подъездов: 2; Закрытая территория: 1; Открытая парковка: 1	
