общая (м²),жилая (м²),кухня (м²),этаж,потолки (м),год постройки (год),Расстояние до метро (мин),Стоимость (рубли),Тип квартиры,отделка,Санузел,Лоджия,Вид из окон во двор,Интернет,Мебель,Мебель на кухне,Стиральная машина,Холодильник,Посудомойка,Можно с детьми,застройщик,Индивидуальный проект,тип здания,число подъездов,Лифт,Мусоропровод,Открытая парковка,число квартир,Центральное отопление,Без животных,Без детей,Охрана/консьерж,Вид из окон на улицу,Телевизор,Закрытая территория,Балкон,Можно с животными,Несколько санузлов,реконструкция,Кондиционер,Закрытая парковка,Автономное отопление,Подземная парковка,Встроенная техника,Вид из окон во двор и на улицу,На полу паркет,Телефон,Сигнализация,На полу ламинат,Две лоджии,Два балкона,URL,Станция метро
0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,URL,0
"49,2",16,18,0.36,"2,7",2017,5,53000,1.0,3,1,1,1,1,1,1,1,1,1,1,6.0,1,5,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://realty.ya.ru/offer/3062891878865540353/;,Купчино
8,6,0,0.2,"2,5",1962,9,14500,0.5,2,2,0,1,1,1,1,1,1,0,0,0.0,0,2,7,0,0,1,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://realty.ya.ru/offer/4394281686310516224/;,Ленинский проспект
30,0,0,0.5,"2,7",2022,5,35000,0.5,3,2,0,0,0,0,0,0,0,0,0,12.0,1,4,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://realty.ya.ru/offer/4628782999801138809/;,Купчино
33,18,7,0.4444444444444444,"2,55",1978,6,25000,1.0,1,2,0,1,1,1,1,1,1,0,1,0.0,0,2,15,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://realty.ya.ru/offer/2043904757586326017/;,Озерки
"26,3",18,0,0.7,0,0,8,50000,0.5,2,2,0,0,1,1,0,1,1,0,1,16.0,1,5,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://realty.ya.ru/offer/1804760332132685883/;,Лиговский Проспект
42,18,"12,5",0.22727272727272727,"2,7",2006,6,36000,1.0,2,1,0,0,1,1,1,1,1,1,0,0.0,1,4,9,1,1,1,1174,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://realty.ya.ru/offer/4219056635137427457/;,Комендантский проспект
57,0,8,0.8,"2,7",2018,7,45000,2.0,0,0,0,0,0,0,0,0,0,0,0,4.0,1,5,3,1,0,1,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://realty.ya.ru/offer/6330279923616047180/;,Пролетарская
77,48,15,0.4,0,1939,9,58000,3.0,2,2,0,0,0,1,1,1,1,1,0,0.0,1,3,5,1,0,1,54,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://realty.ya.ru/offer/7567120673465029462/;,Новочеркасская
90,0,0,0.08,"2,75",2007,4,75500,3.0,1,1,0,1,1,1,0,1,1,0,1,0.0,1,5,7,1,1,1,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://realty.ya.ru/offer/5997181456756065506/;,Академическая
42,26,8,0.6666666666666666,"3,2",1897,5,50000,1.0,1,2,0,0,1,1,1,1,1,1,0,0.0,1,3,2,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://realty.ya.ru/offer/4057006479318481921/;,Петроградская
