@RELATION realty_data

@ATTRIBUTE общая_м² NUMERIC
@ATTRIBUTE жилая_м² NUMERIC
@ATTRIBUTE кухня_м² NUMERIC
@ATTRIBUTE этаж STRING
@ATTRIBUTE потолки_м NUMERIC
@ATTRIBUTE год_постройки_год NUMERIC
@ATTRIBUTE Станция_метро STRING
@ATTRIBUTE Расстояние_до_метро_мин NUMERIC
@ATTRIBUTE Стоимость_рубли NUMERIC
@ATTRIBUTE Тип_квартиры STRING
@ATTRIBUTE отделка STRING
@ATTRIBUTE Санузел STRING
@ATTRIBUTE Лоджия {0, 1}
@ATTRIBUTE Вид_из_окон_во_двор {0, 1}
@ATTRIBUTE Интернет {0, 1}
@ATTRIBUTE Мебель {0, 1}
@ATTRIBUTE Мебель_на_кухне {0, 1}
@ATTRIBUTE Стиральная_машина {0, 1}
@ATTRIBUTE Холодильник {0, 1}
@ATTRIBUTE Посудомойка {0, 1}
@ATTRIBUTE Можно_с детьми {0, 1}
@ATTRIBUTE застройщик STRING
@ATTRIBUTE Индивидуальный_проект {0, 1}
@ATTRIBUTE тип_здания STRING
@ATTRIBUTE число_подъездов NUMERIC
@ATTRIBUTE Лифт {0, 1}
@ATTRIBUTE Мусоропровод {0, 1}
@ATTRIBUTE Открытая_парковка {0, 1}
@ATTRIBUTE число_квартир NUMERIC
@ATTRIBUTE Центральное_отопление {0, 1}
@ATTRIBUTE Без животных {0, 1}
@ATTRIBUTE Без детей {0, 1}
@ATTRIBUTE Охрана/консьерж {0, 1}
@ATTRIBUTE Вид_из_окон_на_улицу {0, 1}
@ATTRIBUTE Телевизор {0, 1}
@ATTRIBUTE Закрытая_территория {0, 1}
@ATTRIBUTE Балкон {0, 1}
@ATTRIBUTE Можно_с животными {0, 1}
@ATTRIBUTE Несколько_санузлов {0, 1}
@ATTRIBUTE реконструкция {0, 1}
@ATTRIBUTE Кондиционер {0, 1}
@ATTRIBUTE Закрытая_парковка {0, 1}
@ATTRIBUTE Автономное_отопление {0, 1}
@ATTRIBUTE Подземная_парковка {0, 1}
@ATTRIBUTE Встроенная_техника {0, 1}
@ATTRIBUTE Вид_из_окон_во_двор_и_на_улицу {0, 1}
@ATTRIBUTE На_полу_паркет {0, 1}
@ATTRIBUTE Телефон {0, 1}
@ATTRIBUTE Сигнализация {0, 1}
@ATTRIBUTE На_полу_ламинат {0, 1}
@ATTRIBUTE Две_лоджии {0, 1}
@ATTRIBUTE Два_балкона {0, 1}
@ATTRIBUTE URL STRING

@DATA
?,?,?,'?',?,?,'?',?,?,'?','?','?',0,0,0,0,0,0,0,0,0,'?',0,'?',?,0,0,0,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'URL'
?,16.0,18.0,'9/25',?,2017.0,'Купчино',5.0,53000.0,'1-комнатная квартира','Отделка — дизайнерский ремонт','раздельный',1,1,1,1,1,1,1,1,1,'Застройщик ЛСР. Недвижимость – Северо-Запад',1,'Монолитное здание',2.0,1,1,1,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'https://realty.ya.ru/offer/3062891878865540353/;'
8.0,6.0,?,'1/5',?,1962.0,'Ленинский проспект',9.0,14500.0,'квартира-студия','Отделка — евроремонт','совмещённый',0,1,1,1,1,1,1,0,0,'?',0,'Панельное здание',7.0,0,0,1,70.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'https://realty.ya.ru/offer/4394281686310516224/;'
30.0,?,?,'5/10',?,2022.0,'Купчино',5.0,35000.0,'апартаменты-студия','Отделка — дизайнерский ремонт','совмещённый',0,0,0,0,0,0,0,0,0,'Застройщик PLG',1,'Кирпично-монолитное здание',?,1,1,1,?,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'https://realty.ya.ru/offer/4628782999801138809/;'
33.0,18.0,7.0,'4/9',?,1978.0,'Озерки',6.0,25000.0,'1-комнатная квартира','Отделка — косметический ремонт','совмещённый',0,1,1,1,1,1,1,0,1,'?',0,'Панельное здание',15.0,1,1,1,?,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'https://realty.ya.ru/offer/2043904757586326017/;'
?,18.0,?,'7/10',?,?,'Лиговский Проспект',8.0,50000.0,'апартаменты-студия','Отделка — евроремонт','совмещённый',0,0,1,1,0,1,1,0,1,'Застройщик ГК «Пионер»',1,'Монолитное здание',?,1,1,1,?,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'https://realty.ya.ru/offer/1804760332132685883/;'
42.0,18.0,?,'5/22',?,2006.0,'Комендантский проспект',6.0,36000.0,'1-комнатная квартира','Отделка — евроремонт','раздельный',0,0,1,1,1,1,1,1,0,'?',1,'Кирпично-монолитное здание',9.0,1,1,1,1174.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'https://realty.ya.ru/offer/4219056635137427457/;'
57.0,?,8.0,'16/20',?,2018.0,'Пролетарская',7.0,45000.0,'2-комнатная квартира','?','?',0,0,0,0,0,0,0,0,0,'Застройщик ИПС',1,'Монолитное здание',3.0,1,0,1,342.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'https://realty.ya.ru/offer/6330279923616047180/;'
77.0,48.0,15.0,'2/5',?,1939.0,'Новочеркасская',9.0,58000.0,'3-комнатная квартира','Отделка — евроремонт','совмещённый',0,0,0,1,1,1,1,1,0,'?',1,'Кирпичное здание',5.0,1,0,1,54.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'https://realty.ya.ru/offer/7567120673465029462/;'
90.0,?,?,'2/25',?,2007.0,'Академическая',4.0,75500.0,'3-комнатная квартира','Отделка — косметический ремонт','раздельный',0,1,1,1,0,1,1,0,1,'?',1,'Монолитное здание',7.0,1,1,1,?,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,'https://realty.ya.ru/offer/5997181456756065506/;'
