общая (м²),жилая (м²),кухня (м²),этаж,потолки (м),год постройки (год),Станция метро,Расстояние до метро (мин),Стоимость (рубли),Тип квартиры,отделка,Санузел,Лоджия,Вид из окон во двор,Интернет,Мебель,Мебель на кухне,Стиральная машина,Холодильник,Посудомойка,Можно с детьми,застройщик,Индивидуальный проект,тип здания,число подъездов,Лифт,Мусоропровод,Открытая парковка,число квартир,Центральное отопление,Без животных,Без детей,Охрана/консьерж,Вид из окон на улицу,Телевизор,Закрытая территория,Балкон,Можно с животными,Несколько санузлов,реконструкция,Кондиционер,Закрытая парковка,Автономное отопление,Подземная парковка,Встроенная техника,Вид из окон во двор и на улицу,На полу паркет,Телефон,Сигнализация,На полу ламинат,Две лоджии,Два балкона,URL
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,URL
"49,2",16,18,9/25,"2,7",2017,Купчино,5,53000,1-комнатная квартира,Отделка — дизайнерский ремонт,раздельный,1,1,1,1,1,1,1,1,1,Застройщик ЛСР. Недвижимость – Северо-Запад,1,Монолитное здание,2,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/3062891878865540353/;
8,6,?,1/5,"2,5",1962,Ленинский проспект,9,14500,квартира-студия,Отделка — евроремонт,совмещённый,?,1,1,1,1,1,1,?,?,?,?,Панельное здание,7,?,?,1,70,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/4394281686310516224/;
30,?,?,5/10,"2,7",2022,Купчино,5,35000,апартаменты-студия,Отделка — дизайнерский ремонт,совмещённый,?,?,?,?,?,?,?,?,?,Застройщик PLG,1,Кирпично-монолитное здание,?,1,1,1,?,?,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/4628782999801138809/;
33,18,7,4/9,"2,55",1978,Озерки,6,25000,1-комнатная квартира,Отделка — косметический ремонт,совмещённый,?,1,1,1,1,1,1,?,1,?,?,Панельное здание,15,1,1,1,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/2043904757586326017/;
"26,3",18,?,7/10,?,?,Лиговский Проспект,8,50000,апартаменты-студия,Отделка — евроремонт,совмещённый,?,?,1,1,?,1,1,?,1,Застройщик ГК «Пионер»,1,Монолитное здание,?,1,1,1,?,?,1,?,1,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/1804760332132685883/;
42,18,"12,5",5/22,"2,7",2006,Комендантский проспект,6,36000,1-комнатная квартира,Отделка — евроремонт,раздельный,?,?,1,1,1,1,1,1,?,?,1,Кирпично-монолитное здание,9,1,1,1,1174,1,?,?,?,?,1,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/4219056635137427457/;
57,?,8,16/20,"2,7",2018,Пролетарская,7,45000,2-комнатная квартира,?,?,?,?,?,?,?,?,?,?,?,Застройщик ИПС,1,Монолитное здание,3,1,?,1,342,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/6330279923616047180/;
77,48,15,2/5,?,1939,Новочеркасская,9,58000,3-комнатная квартира,Отделка — евроремонт,совмещённый,?,?,?,1,1,1,1,1,?,?,1,Кирпичное здание,5,1,?,1,54,1,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/7567120673465029462/;
90,?,?,2/25,"2,75",2007,Академическая,4,75500,3-комнатная квартира,Отделка — косметический ремонт,раздельный,?,1,1,1,?,1,1,?,1,?,1,Монолитное здание,7,1,1,1,?,1,?,?,1,?,1,?,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,https://realty.ya.ru/offer/5997181456756065506/;
